pumpModel,pumpWeight,pumpLength_mm
ЭЦН5А-35-1300,318,7107
ЭЦН5А-35-1550,333,8107
ЭЦН5А-35-1800,348,9107
ЭЦН5А-35-2000,413,10107
ЭЦН5А-35-2250,478,11107
ЭЦН5А-35-2450,498,12472
ЭЦН5А-35-2700,563,13472
ЭЦН5А-35-1400,264,6436
ЭЦН5А-35-1650,304,7436
ЭЦН5А-35-1900,344,8436
ЭЦН5А-35-1150,211,5228
ЭЦН5А-35-2050,382,9436
ЭЦН5А-35-2300,422,10436
ЭЦН5А-35-2500,473,11644
ЭЦН5А-35-2150,440,9760
ЭЦН5А-35-2400,480,10760
ЭЦН5А-35-2600,510,12125
ЭЦН5А-35-2850,580,13125
ЭЦН5А-35-3100,610,14125
ЭЦН5А-35-3350,660,15125
ЭЦН5А-35-3600,840,16125
ЭЦН5А-35-2900,510,12640
ЭЦН5А-35-3150,580,13640
ЭЦН5А-35-3400,610,14640
ЭЦН5А-35-3650,660,15640
ЭЦН5А-60-1000,196,4742
ЭЦН5А-60-1250,225,5742
ЭЦН5А-60-1450,285,7107
ЭЦН5А-60-1750,325,8107
ЭЦН5А-60-2000,365,9107
ЭЦН5А-60-2250,405,10107
ЭЦН5А-60-2500,445,11107
ЭЦН5А-60-2750,550,12472
ЭЦН5А-60-1200,237,5742
ЭЦН5А-60-1400,298,7107
ЭЦН5А-60-1700,338,8107
ЭЦН5А-60-1950,378,9107
ЭЦН5А-60-2200,418,10107
ЭЦН5А-60-2450,458,11107
ЭЦН5А-60-2650,518,12472
ЭЦН5А-60-1500,260,6436
ЭЦН5А-60-2050,338,8436
ЭЦН5А-60-2300,378,9436
ЭЦН5А-60-2550,418,10436
ЭЦН5А-60-2800,468,11644
ЭЦН5А-60-2700,473,11644
ЭЦН5А-60-2950,513,12644
ЭЦН5А-100-1100,270,7107
ЭЦН5А-100-1300,310,8107
ЭЦН5А-100-1500,345,9107
ЭЦН5А-100-1700,380,10107
ЭЦН5А-100-1900,425,11107
ЭЦН5А-100-2050,485,12472
ЭЦН5А-100-2250,520,13472
ЭЦН5А-100-2450,560,14472
ЭЦН5А-100-2650,600,15472
ЭЦН5А-100-1050,276,7107
ЭЦН5А-100-1250,313,8107
ЭЦН5А-100-1450,351,9107
ЭЦН5А-100-1650,390,10107
ЭЦН5А-100-1850,427,11107
ЭЦН5А-100-2000,478,12472
ЭЦН5А-100-2200,516,13472
ЭЦН5А-100-2400,555,14472
ЭЦН5А-100-1150,250,6436
ЭЦН5А-100-1350,288,7436
ЭЦН5А-100-1550,326,8436
ЭЦН5А-100-2100,451,11644
ЭЦН5А-100-2300,489,12644
ЭЦН5А-100-2500,527,13644
ЭЦН5А-100-2700,565,14644
ЭЦН5А-100-2900,603,15644
ЭЦН5А-100-2600,562,14644
ЭЦН5А-100-2800,600,15644
ЭЦН5А-160-850,182,5742
ЭЦН5А-160-1000,274,7107
ЭЦН5А-160-1150,313,8107
ЭЦН5А-160-1350,352,9107
ЭЦН5А-160-1550,390,10107
ЭЦН5А-160-1700,428,11107
ЭЦН5А-160-1850,484,12472
ЭЦН5А-160-2050,523,13472
ЭЦН5А-160-2200,561,14472
ЭЦН5А-160-2400,599,15472
ЭЦН5А-160-1200,301,7820
ЭЦН5А-160-1400,340,8820
ЭЦН5А-160-1750,416,10820
ЭЦН5А-160-1900,471,12185
ЭЦН5А-160-2250,548,14185
ЭЦН5А-160-2450,586,15185
ЭЦН5А-160-1500,385,10107
ЭЦН5А-160-2000,525,13472
ЭЦН5А-160-950,286,7107
ЭЦН5А-160-1100,325,8107
ЭЦН5А-160-1250,360,9107
ЭЦН5А-160-1450,398,10107
ЭЦН5А-160-1600,438,11107
ЭЦН5А-160-1950,533,13472
ЭЦН5А-160-2100,568,14472
ЭЦН5А-160-2350,677,14644
ЭЦН5А-160-2550,714,15644
ЭЦН5А-160-1300,401,8436
ЭЦН5А-160-1650,474,10436
ЭЦН5А-160-1800,563,11644
ЭЦН5А-160-2300,675,14644
ЭЦН5А-200-1300,281,6760
ЭЦН5А-200-1550,323,7760
ЭЦН5А-200-1800,364,8760
ЭЦН5А-200-2050,406,9760
